[2023-01-18 20:38:49,854]:[INFO]:
****************************************************************************************************
[2023-01-18 20:38:55,954]:[INFO]:Got 1268 posts
[2023-01-18 20:38:55,955]:[INFO]:Last time posts_data: 2022-12-01 0
[2023-01-18 20:38:55,956]:[INFO]:Switch account ...
[2023-01-18 20:38:55,957]:[INFO]:cook_flag_check: {'c_user=100073030213935; xs=36%3Ah-DEnfxug0Ecww%3A2%3A1674014358%3A-1%3A6290;': ('normal', datetime.datetime(2023, 1, 18, 20, 38, 49, 859774))}
[2023-01-18 20:38:55,957]:[INFO]:Remain 1 alive acc
[2023-01-18 20:38:55,957]:[INFO]:Cook_q: ['c_user=100073030213935; xs=36%3Ah-DEnfxug0Ecww%3A2%3A1674014358%3A-1%3A6290;']
[2023-01-18 20:38:55,957]:[INFO]:
=======
[2023-01-18 20:38:56,968]:[INFO]:Getting chrome driver
[2023-01-18 20:39:32,055]:[INFO]:Login oke c_user=100073030213935; xs=36%3Ah-DEnfxug0Ecww%3A2%3A1674014358%3A-1%3A6290;
[2023-01-18 20:39:43,213]:[INFO]:Queue: ['c_user=100073030213935; xs=36%3Ah-DEnfxug0Ecww%3A2%3A1674014358%3A-1%3A6290;'] '
 cook_flag_check {'c_user=100073030213935; xs=36%3Ah-DEnfxug0Ecww%3A2%3A1674014358%3A-1%3A6290;': ('normal', datetime.datetime(2023, 1, 18, 20, 38, 49, 859774))}
[2023-01-18 20:39:47,443]:[INFO]:Dumping to db
[2023-01-18 20:39:47,600]:[INFO]:Remaining: 1267
[2023-01-18 20:39:51,799]:[INFO]:Dumping to db
[2023-01-18 20:39:51,931]:[INFO]:Remaining: 1266
[2023-01-18 20:39:54,860]:[INFO]:Dumping to db
[2023-01-18 20:39:54,994]:[INFO]:Remaining: 1265
[2023-01-18 20:39:59,968]:[INFO]:Dumping to db
[2023-01-18 20:40:00,102]:[INFO]:Remaining: 1264
[2023-01-18 20:40:05,024]:[INFO]:Dumping to db
[2023-01-18 20:40:05,156]:[INFO]:Remaining: 1263
[2023-01-18 20:40:09,181]:[INFO]:Dumping to db
[2023-01-18 20:40:09,312]:[INFO]:Remaining: 1262
[2023-01-18 20:40:13,336]:[INFO]:Dumping to db
[2023-01-18 20:40:13,463]:[INFO]:Remaining: 1261
[2023-01-18 20:40:18,501]:[INFO]:Dumping to db
[2023-01-18 20:40:18,663]:[INFO]:Remaining: 1260
[2023-01-18 20:40:23,624]:[INFO]:Dumping to db
[2023-01-18 20:40:23,760]:[INFO]:Remaining: 1259
[2023-01-18 20:40:26,795]:[INFO]:Dumping to db
[2023-01-18 20:40:26,950]:[INFO]:Remaining: 1258
[2023-01-18 20:40:31,031]:[INFO]:Dumping to db
[2023-01-18 20:40:31,160]:[INFO]:Remaining: 1257
[2023-01-18 20:40:36,310]:[INFO]:Dumping to db
[2023-01-18 20:40:36,453]:[INFO]:Remaining: 1256
[2023-01-18 20:40:39,857]:[INFO]:Dumping to db
[2023-01-18 20:40:39,993]:[INFO]:Remaining: 1255
[2023-01-18 20:40:44,236]:[INFO]:Dumping to db
[2023-01-18 20:40:44,381]:[INFO]:Remaining: 1254
[2023-01-18 20:40:49,730]:[INFO]:Dumping to db
[2023-01-18 20:40:49,857]:[INFO]:Remaining: 1253
[2023-01-18 20:40:53,292]:[INFO]:Dumping to db
[2023-01-18 20:40:53,429]:[INFO]:Remaining: 1252
[2023-01-18 20:40:57,757]:[INFO]:Dumping to db
[2023-01-18 20:40:57,884]:[INFO]:Remaining: 1251
[2023-01-18 20:41:01,920]:[INFO]:Dumping to db
[2023-01-18 20:41:02,062]:[INFO]:Remaining: 1250
[2023-01-18 20:41:05,033]:[INFO]:Dumping to db
[2023-01-18 20:41:05,165]:[INFO]:Remaining: 1249
[2023-01-18 20:41:09,535]:[INFO]:Dumping to db
[2023-01-18 20:41:09,673]:[INFO]:Remaining: 1248
[2023-01-18 20:41:14,213]:[INFO]:Dumping to db
[2023-01-18 20:41:14,344]:[INFO]:Remaining: 1247
[2023-01-18 20:41:19,695]:[INFO]:Dumping to db
[2023-01-18 20:41:19,828]:[INFO]:Remaining: 1246
[2023-01-18 20:41:23,793]:[INFO]:Dumping to db
[2023-01-18 20:41:23,925]:[INFO]:Remaining: 1245
[2023-01-18 20:41:41,057]:[INFO]:Dumping to db
[2023-01-18 20:41:41,356]:[INFO]:Remaining: 1244
[2023-01-18 20:41:45,647]:[INFO]:Dumping to db
[2023-01-18 20:41:45,780]:[INFO]:Remaining: 1243
[2023-01-18 20:41:50,638]:[INFO]:Dumping to db
[2023-01-18 20:41:50,794]:[INFO]:Remaining: 1242
[2023-01-18 20:41:54,256]:[INFO]:Dumping to db
[2023-01-18 20:41:54,397]:[INFO]:Remaining: 1241
[2023-01-18 20:41:58,854]:[INFO]:Dumping to db
[2023-01-18 20:41:58,989]:[INFO]:Remaining: 1240
[2023-01-18 20:42:02,207]:[INFO]:Dumping to db
[2023-01-18 20:42:02,351]:[INFO]:Remaining: 1239
[2023-01-18 20:42:07,488]:[INFO]:Dumping to db
[2023-01-18 20:42:07,693]:[INFO]:Remaining: 1238
[2023-01-18 20:42:11,076]:[INFO]:Dumping to db
[2023-01-18 20:42:11,209]:[INFO]:Remaining: 1237
[2023-01-18 20:42:16,691]:[INFO]:Dumping to db
[2023-01-18 20:42:16,821]:[INFO]:Remaining: 1236
[2023-01-18 20:42:20,319]:[INFO]:Dumping to db
[2023-01-18 20:42:20,472]:[INFO]:Remaining: 1235
[2023-01-18 20:42:24,403]:[INFO]:Dumping to db
[2023-01-18 20:42:24,562]:[INFO]:Remaining: 1234
[2023-01-18 20:42:30,028]:[INFO]:Dumping to db
[2023-01-18 20:42:30,177]:[INFO]:Remaining: 1233
[2023-01-18 20:42:33,302]:[INFO]:Dumping to db
[2023-01-18 20:42:33,434]:[INFO]:Remaining: 1232
[2023-01-18 20:42:38,452]:[INFO]:Dumping to db
[2023-01-18 20:42:38,586]:[INFO]:Remaining: 1231
[2023-01-18 20:42:43,603]:[INFO]:Dumping to db
[2023-01-18 20:42:43,729]:[INFO]:Remaining: 1230
[2023-01-18 20:42:46,729]:[INFO]:Dumping to db
[2023-01-18 20:42:46,862]:[INFO]:Remaining: 1229
[2023-01-18 20:42:51,824]:[INFO]:Dumping to db
[2023-01-18 20:42:51,958]:[INFO]:Remaining: 1228
[2023-01-18 20:42:55,053]:[INFO]:Dumping to db
[2023-01-18 20:42:55,190]:[INFO]:Remaining: 1227
[2023-01-18 20:43:00,178]:[INFO]:Dumping to db
[2023-01-18 20:43:00,319]:[INFO]:Remaining: 1226
[2023-01-18 20:43:04,374]:[INFO]:Dumping to db
[2023-01-18 20:43:04,501]:[INFO]:Remaining: 1225
[2023-01-18 20:43:09,677]:[INFO]:Dumping to db
[2023-01-18 20:43:09,814]:[INFO]:Remaining: 1224
[2023-01-18 20:43:13,903]:[INFO]:Dumping to db
[2023-01-18 20:43:14,034]:[INFO]:Remaining: 1223
[2023-01-18 20:43:19,214]:[INFO]:Dumping to db
[2023-01-18 20:43:19,351]:[INFO]:Remaining: 1222
[2023-01-18 20:43:24,239]:[INFO]:Dumping to db
[2023-01-18 20:43:24,387]:[INFO]:Remaining: 1221
[2023-01-18 20:43:27,492]:[INFO]:Dumping to db
[2023-01-18 20:43:27,634]:[INFO]:Remaining: 1220
[2023-01-18 20:43:30,676]:[INFO]:Dumping to db
[2023-01-18 20:43:31,077]:[INFO]:Remaining: 1219
[2023-01-18 20:43:34,064]:[INFO]:Dumping to db
[2023-01-18 20:43:34,211]:[INFO]:Remaining: 1218
[2023-01-18 20:43:39,165]:[INFO]:Dumping to db
[2023-01-18 20:43:39,386]:[INFO]:Remaining: 1217
[2023-01-18 20:43:44,446]:[INFO]:Dumping to db
[2023-01-18 20:43:44,581]:[INFO]:Remaining: 1216
[2023-01-18 20:43:47,930]:[INFO]:Dumping to db
[2023-01-18 20:43:48,076]:[INFO]:Remaining: 1215
[2023-01-18 20:43:51,215]:[INFO]:Dumping to db
[2023-01-18 20:43:51,350]:[INFO]:Remaining: 1214
[2023-01-18 20:43:54,495]:[INFO]:Dumping to db
[2023-01-18 20:43:54,623]:[INFO]:Remaining: 1213
[2023-01-18 20:43:59,770]:[INFO]:Dumping to db
[2023-01-18 20:43:59,899]:[INFO]:Remaining: 1212
[2023-01-18 20:44:03,023]:[INFO]:Dumping to db
[2023-01-18 20:44:03,168]:[INFO]:Remaining: 1211
[2023-01-18 20:44:06,284]:[INFO]:Dumping to db
[2023-01-18 20:44:06,655]:[INFO]:Remaining: 1210
[2023-01-18 20:44:09,850]:[INFO]:Dumping to db
[2023-01-18 20:44:09,988]:[INFO]:Remaining: 1209
[2023-01-18 20:44:13,964]:[INFO]:Dumping to db
[2023-01-18 20:44:14,094]:[INFO]:Remaining: 1208
[2023-01-18 20:44:18,291]:[INFO]:Dumping to db
[2023-01-18 20:44:18,427]:[INFO]:Remaining: 1207
[2023-01-18 20:44:23,570]:[INFO]:Dumping to db
[2023-01-18 20:44:23,723]:[INFO]:Remaining: 1206
[2023-01-18 20:44:28,094]:[INFO]:Dumping to db
[2023-01-18 20:44:28,234]:[INFO]:Remaining: 1205
[2023-01-18 20:44:33,208]:[INFO]:Dumping to db
[2023-01-18 20:44:33,333]:[INFO]:Remaining: 1204
[2023-01-18 20:44:37,387]:[INFO]:Dumping to db
[2023-01-18 20:44:37,525]:[INFO]:Remaining: 1203
[2023-01-18 20:44:41,965]:[INFO]:Dumping to db
[2023-01-18 20:44:42,094]:[INFO]:Remaining: 1202
[2023-01-18 20:44:45,313]:[INFO]:Dumping to db
[2023-01-18 20:44:45,454]:[INFO]:Remaining: 1201
[2023-01-18 20:44:50,417]:[INFO]:Dumping to db
[2023-01-18 20:44:50,553]:[INFO]:Remaining: 1200
[2023-01-18 20:44:54,684]:[INFO]:Dumping to db
[2023-01-18 20:44:54,831]:[INFO]:Remaining: 1199
[2023-01-18 20:44:59,800]:[INFO]:Dumping to db
[2023-01-18 20:44:59,940]:[INFO]:Remaining: 1198
[2023-01-18 20:45:05,964]:[INFO]:Dumping to db
[2023-01-18 20:45:06,096]:[INFO]:Remaining: 1197
[2023-01-18 20:45:11,511]:[INFO]:Dumping to db
[2023-01-18 20:45:11,648]:[INFO]:Remaining: 1196
[2023-01-18 20:45:14,990]:[INFO]:Dumping to db
[2023-01-18 20:45:15,123]:[INFO]:Remaining: 1195
[2023-01-18 20:45:18,522]:[INFO]:Dumping to db
[2023-01-18 20:45:18,659]:[INFO]:Remaining: 1194
[2023-01-18 20:45:24,195]:[INFO]:Dumping to db
[2023-01-18 20:45:24,328]:[INFO]:Remaining: 1193
[2023-01-18 20:45:27,735]:[INFO]:Dumping to db
[2023-01-18 20:45:27,865]:[INFO]:Remaining: 1192
[2023-01-18 20:45:32,467]:[INFO]:Dumping to db
[2023-01-18 20:45:32,598]:[INFO]:Remaining: 1191
